Time(s),Distance(m)
5.753,0.104884
5.765,0.104818
5.777,0.104752
5.789,0.104686
5.801,0.104619
5.813,0.104553
5.825,0.104486
5.837,0.104419
5.849,0.104352
5.861,0.104285
5.873,0.104218
5.885,0.104151
5.897,0.104083
5.910,0.104016
5.922,0.103948
5.934,0.103880
5.946,0.103812
5.958,0.103744
5.970,0.103676
5.982,0.103607
5.994,0.103539
6.006,0.103470
6.018,0.103401
6.030,0.103333
6.042,0.103264
6.054,0.103194
6.066,0.103125
6.078,0.103056
6.090,0.102986
6.102,0.102917
6.115,0.102847
6.127,0.102777
6.139,0.102707
6.151,0.102637
6.163,0.102566
6.175,0.102496
6.187,0.102425
6.199,0.102354
6.211,0.102284
6.223,0.102213
6.235,0.102142
6.247,0.102070
6.259,0.101999
6.271,0.101928
6.283,0.101856
6.295,0.101784
6.308,0.101712
6.320,0.101640
6.332,0.101568
6.344,0.101496
6.356,0.101424
6.368,0.101351
6.380,0.101279
6.392,0.101206
6.404,0.101133
6.416,0.101060
6.428,0.100987
6.440,0.100914
6.452,0.100841
6.464,0.100767
6.476,0.100694
6.488,0.100620
6.500,0.100546
6.513,0.100472
6.525,0.100398
6.537,0.100324
6.549,0.100249
6.561,0.100175
6.573,0.100100
6.585,0.100025
6.597,0.099951
6.609,0.099876
6.621,0.099800
6.633,0.099725
6.645,0.099650
6.657,0.099575
6.669,0.099499
6.681,0.099423
6.693,0.099347
6.706,0.099271
6.718,0.099195
6.730,0.099119
6.742,0.099043
6.754,0.098967
6.766,0.098890
6.778,0.098813
6.790,0.098736
6.802,0.098660
6.814,0.098582
6.826,0.098505
6.838,0.098428
6.850,0.098350
6.862,0.098273
6.874,0.098195
6.886,0.098117
6.898,0.098039
6.911,0.097961
6.923,0.097883
6.935,0.097805
6.947,0.097727
6.959,0.097648
6.971,0.097569
6.983,0.097491
6.995,0.097412
7.007,0.097333
7.019,0.097254
7.031,0.097175
7.043,0.097095
7.055,0.097016
7.067,0.096936
7.079,0.096857
7.091,0.096777
7.103,0.096697
7.116,0.096617
7.128,0.096537
7.140,0.096456
7.152,0.096376
7.164,0.096295
7.176,0.096215
7.188,0.096134
7.200,0.096053
7.212,0.095972
7.224,0.095891
7.236,0.095809
7.248,0.095728
7.260,0.095647
7.272,0.095565
7.284,0.095483
7.296,0.095401
7.309,0.095319
7.321,0.095237
7.333,0.095155
7.345,0.095073
7.357,0.094991
7.369,0.094908
7.381,0.094825
7.393,0.094743
7.405,0.094660
7.417,0.094577
7.429,0.094494
7.441,0.094410
7.453,0.094327
7.465,0.094244
7.477,0.094160
7.489,0.094076
7.501,0.093993
7.514,0.093909
7.526,0.093825
7.538,0.093740
7.550,0.093656
7.562,0.093572
7.574,0.093487
7.586,0.093403
7.598,0.093318
7.610,0.093233
7.622,0.093148
7.634,0.093063
7.646,0.092978
7.658,0.092892
7.670,0.092807
7.682,0.092722
7.694,0.092636
7.707,0.092550
7.719,0.092464
7.731,0.092378
7.743,0.092292
7.755,0.092206
7.767,0.092120
7.779,0.092034
7.791,0.091947
7.803,0.091860
7.815,0.091774
7.827,0.091687
7.839,0.091600
7.851,0.091513
7.863,0.091425
7.875,0.091338
7.887,0.091251
7.899,0.091163
7.912,0.091075
7.924,0.090988
7.936,0.090900
7.948,0.090812
7.960,0.090724
7.972,0.090635
7.984,0.090547
7.996,0.090459
8.008,0.090370
8.020,0.090282
8.032,0.090193
8.044,0.090104
8.056,0.090015
8.068,0.089926
8.080,0.089837
8.092,0.089748
8.104,0.089658
8.117,0.089569
8.129,0.089479
8.141,0.089389
8.153,0.089300
8.165,0.089210
8.177,0.089120
8.189,0.089029
8.201,0.088939
8.213,0.088849
8.225,0.088758
8.237,0.088668
8.249,0.088577
8.261,0.088486
8.273,0.088395
8.285,0.088304
8.297,0.088213
8.310,0.088122
8.322,0.088030
8.334,0.087939
8.346,0.087847
8.358,0.087756
8.370,0.087664
8.382,0.087572
8.394,0.087480
8.406,0.087388
8.418,0.087296
8.430,0.087204
8.442,0.087111
8.454,0.087019
8.466,0.086926
8.478,0.086834
8.490,0.086741
8.502,0.086648
8.515,0.086555
8.527,0.086462
8.539,0.086369
8.551,0.086275
8.563,0.086182
8.575,0.086088
8.587,0.085994
8.599,0.085901
8.611,0.085807
8.623,0.085713
8.635,0.085619
8.647,0.085525
8.659,0.085430
8.671,0.085336
8.683,0.085241
8.695,0.085147
8.708,0.085052
8.720,0.084957
8.732,0.084863
8.744,0.084768
8.756,0.084673
8.768,0.084577
8.780,0.084482
8.792,0.084387
8.804,0.084291
8.816,0.084196
8.828,0.084100
8.840,0.084004
8.852,0.083908
8.864,0.083812
8.876,0.083716
8.888,0.083620
8.900,0.083524
8.913,0.083427
8.925,0.083331
8.937,0.083234
8.949,0.083138
8.961,0.083041
8.973,0.082946
8.985,0.082857
8.997,0.082777
9.009,0.082708
9.021,0.082652
9.033,0.082609
9.045,0.082577
9.057,0.082557
9.069,0.082546
9.081,0.082542
9.093,0.082540
9.105,0.082540
9.118,0.082540
9.130,0.082540
9.142,0.082540
9.154,0.082541
9.166,0.082541
9.178,0.082541
9.190,0.082541
9.202,0.082542
9.214,0.082542
9.226,0.082542
9.238,0.082543
9.250,0.082543
9.262,0.082543
9.274,0.082544
9.286,0.082544
9.298,0.082544
9.311,0.082544
9.323,0.082545
9.335,0.082545
9.347,0.082545
9.359,0.082546
9.371,0.082546
9.383,0.082546
9.395,0.082546
9.407,0.082547
9.419,0.082547
9.431,0.082547
9.443,0.082547
9.455,0.082548
9.467,0.082548
9.479,0.082548
9.491,0.082549
9.503,0.082549
9.516,0.082549
9.528,0.082549
9.540,0.082550
9.552,0.082550
9.564,0.082550
9.576,0.082550
9.588,0.082551
9.600,0.082551
9.612,0.082551
9.624,0.082551
